Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
71,66.4,64,67,64.4,62,96,92.8,88,4,1.8,0,25.1,25.1,25.0,0.00,2020-8-29
68,65.0,63,67,63.9,61,98,95.5,89,2,1.5,0,25.1,25.0,25.0,0.02,2020-8-30
72,66.8,62,68,64.6,61,96,92.6,85,2,1.3,0,25.1,25.0,25.0,1.57,2020-8-31
67,65.5,65,66,65.1,65,99,97.9,96,11,6.9,2,25.1,25.0,25.0,1.44,2021-8-1
67,65.3,64,66,65.1,64,99,98.1,98,11,9.1,4,25.0,25.0,25.0,6.52,2021-8-2
66,65.1,65,65,64.7,64,98,97.6,96,16,9.9,4,25.1,25.0,25.0,7.18,2021-8-3
66,65.1,64,65,64.8,64,98,97.9,97,13,10.0,7,25.1,25.0,25.0,3.52,2021-8-4
67,65.3,65,66,64.4,64,98,97.3,96,13,8.6,4,25.1,25.0,25.0,1.35,2021-8-5
68,66.0,65,67,65.4,65,98,97.7,96,13,9.7,4,25.1,25.1,25.1,3.51,2021-8-6
67,66.0,65,67,65.5,64,98,97.8,96,11,7.8,4,25.2,25.1,25.1,1.76,2021-8-7
72,66.3,64,69,65.0,64,98,96.0,92,4,2.3,0,25.2,25.1,25.1,1.06,2021-8-8
74,66.4,63,69,64.5,61,98,93.1,80,4,1.0,0,25.1,25.1,25.1,0.19,2021-8-9
72,66.3,63,67,63.9,61,96,92.0,85,4,0.8,0,25.1,25.1,25.1,1.46,2021-8-10
70,65.3,63,68,64.1,61,98,95.4,93,4,1.0,0,25.2,25.2,25.1,0.47,2021-8-11
73,66.1,62,70,64.4,62,97,93.3,89,4,1.5,0,25.2,25.2,25.2,0.28,2021-8-12
73,67.3,63,70,65.1,62,97,92.8,83,2,0.5,0,25.2,25.1,25.1,0.02,2021-8-13
68,65.0,63,64,62.3,61,96,91.4,82,2,0.6,0,25.2,25.1,25.1,0.10,2021-8-14
68,64.5,62,65,62.8,60,96,93.9,87,2,0.5,0,25.2,25.2,25.1,0.66,2021-8-15
72,67.4,63,66,63.8,61,94,88.5,78,9,4.1,0,25.2,25.2,25.2,0.20,2021-8-16
76,69.0,63,71,65.9,61,98,90.0,78,7,3.3,0,25.2,25.2,25.1,0.00,2021-8-17
73,67.3,64,70,65.8,63,98,94.3,86,2,1.0,0,25.1,25.1,25.1,0.45,2021-8-18
72,66.1,63,67,64.1,62,97,92.8,81,4,0.8,0,25.1,25.1,25.1,0.61,2021-8-19
73,66.1,62,68,63.8,60,96,91.8,83,4,1.0,0,25.2,25.1,25.1,0.47,2021-8-20
73,66.6,62,67,62.5,60,94,87.4,68,2,1.5,0,25.1,25.1,25.1,1.98,2021-8-21
77,68.5,63,67,63.9,60,98,86.6,70,2,1.0,0,25.1,25.1,25.1,0.43,2021-8-22
76,68.0,62,65,63.4,60,94,85.0,68,9,4.1,0,25.2,25.1,25.1,0.12,2021-8-23
73,66.9,63,66,63.3,60,96,88.9,77,9,3.6,0,25.2,25.1,25.1,0.16,2021-8-24
75,67.5,63,66,63.4,59,98,88.0,72,7,2.4,0,25.2,25.1,25.1,0.10,2021-8-25
74,68.1,63,64,60.9,57,96,78.9,63,7,3.3,0,25.1,25.1,25.1,0.14,2021-8-26
73,66.7,63,62,60.6,58,91,81.1,67,7,4.3,0,25.2,25.1,25.1,0.00,2021-8-27
78,68.5,62,69,63.9,60,93,85.5,64,7,2.9,0,25.1,25.1,25.1,0.01,2021-8-28
74,67.5,64,67,63.0,60,91,85.9,73,7,2.8,0,25.2,25.1,25.1,0.72,2021-8-29
74,66.8,62,67,62.9,60,94,87.8,63,9,3.0,0,25.2,25.1,25.1,0.12,2021-8-30
76,67.8,63,72,65.4,61,96,91.9,86,7,2.6,0,25.2,25.1,25.1,3.47,2021-8-31
69,65.2,63,66,63.8,61,98,94.8,91,4,2.4,0,25.1,25.1,25.0,0.01,2022-8-1
71,66.9,63,69,64.9,61,96,94.1,91,4,1.1,0,25.2,25.1,25.1,0.33,2022-8-2
75,66.6,63,66,62.7,59,96,88.3,73,7,4.4,4,25.1,25.1,25.1,0.28,2022-8-3
72,66.8,64,67,64.2,62,96,90.7,84,7,3.2,0,25.1,25.1,25.1,0.05,2022-8-4
68,66.0,64,66,64.8,63,98,95.0,91,4,1.0,0,25.1,25.1,25.1,0.17,2022-8-5
67,65.3,63,65,63.0,61,97,92.0,81,9,6.8,4,25.1,25.0,25.0,0.39,2022-8-6
67,64.2,62,63,61.8,61,98,91.8,84,7,5.2,4,25.1,25.1,25.0,0.10,2022-8-7
62,61.7,61,61,60.7,60,97,96.3,96,7,6.0,4,25.1,25.1,25.0,0.00,2022-8-8
65,63.2,62,64,61.8,60,98,96.2,94,9,5.3,4,25.4,25.1,25.0,0.00,2022-8-9
62,61.5,61,61,60.5,60,97,96.0,95,7,5.5,4,25.1,25.1,25.1,0.00,2022-8-10
71,65.9,63,66,63.1,61,98,91.3,82,9,2.6,0,25.2,25.1,25.0,0.05,2022-8-11
72,65.9,62,68,64.1,61,96,94.0,87,2,0.6,0,25.2,25.1,25.1,0.65,2022-8-12
76,67.0,64,66,63.2,62,94,88.0,71,2,0.7,0,25.1,25.1,25.1,0.00,2022-8-13
70,66.6,63,65,63.6,61,98,89.9,76,4,1.7,0,25.1,25.1,25.0,2.33,2022-8-14
72,65.3,61,66,62.0,59,98,89.0,72,9,5.8,4,25.1,25.1,25.0,3.36,2022-8-15
68,65.2,63,66,63.8,62,96,94.3,91,4,2.3,0,25.1,25.1,25.1,0.46,2022-8-16
68,64.9,63,66,63.7,62,98,95.6,91,4,1.7,0,25.1,25.1,25.1,0.21,2022-8-17
68,64.3,62,65,62.7,60,98,95.1,91,7,2.7,0,25.1,25.1,25.1,1.27,2022-8-18
71,65.3,62,66,63.0,62,98,91.5,85,9,5.2,0,25.1,25.1,25.1,1.33,2022-8-19
76,68.0,63,68,63.2,60,94,85.3,67,7,2.8,0,25.1,25.1,25.1,0.06,2022-8-20
71,66.4,63,63,61.4,58,96,83.9,67,7,2.4,0,25.1,25.1,25.1,0.54,2022-8-21
70,64.3,62,65,62.3,60,98,93.2,71,9,4.5,0,25.0,25.0,24.9,0.00,2022-8-22
67,64.3,63,65,63.7,62,98,96.8,93,9,3.0,0,25.0,24.9,24.9,1.07,2022-8-23
66,63.9,62,64,63.1,62,98,97.0,94,11,7.1,4,25.1,25.1,25.0,0.00,2022-8-24
74,67.8,63,67,64.2,62,98,87.5,76,7,3.2,0,25.2,25.2,25.1,0.54,2022-8-25
76,69.0,63,69,64.5,60,96,87.2,74,2,1.3,0,25.2,25.2,25.1,0.08,2022-8-26
74,70.1,66,66,64.4,63,94,83.1,70,2,0.9,0,25.1,25.1,25.1,0.04,2022-8-27
78,69.5,64,67,64.3,63,96,84.0,61,4,0.7,0,25.1,25.1,25.1,0.00,2022-8-28
71,67.0,64,65,63.2,61,96,87.2,76,2,0.7,0,25.2,25.1,25.1,0.75,2022-8-29
76,68.2,64,70,66.0,63,96,92.0,82,2,0.3,0,25.1,25.1,25.1,0.03,2022-8-30
71,66.1,63,68,64.1,61,96,93.6,88,2,0.3,0,25.1,25.1,25.0,0.32,2022-8-31
